title,vote_average,vote_count,overview,popularity,genres,worth_watching,clean_overview
Shutter Island,8.2,22318,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",56.595,"Drama, Thriller, Mystery",1,world war ii soldierturnedus marshal teddy daniels investigates disappearance patient hospital criminally insane but his efforts compromised troubling visions mysterious doctor
The Wolf of Wall Street,8.035,22222,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",97.444,"Crime, Drama, Comedy",1,new york stockbroker refuses cooperate large securities fraud case involving corruption wall street corporate banking world mob infiltration based jordan belforts autobiography
Avengers: Age of Ultron,7.276,21754,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth?s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",96.565,"Action, Adventure, Science Fiction",1,when tony stark tries jumpstart dormant peacekeeping program things go awry earths mightiest heroes put ultimate test fate planet hangs balance villainous ultron emerges up avengers stop him enacting his terrible plans soon uneasy alliances unexpected action pave way epic unique global adventure
Captain America: Civil War,7.4,21541,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",70.741,"Adventure, Action, Science Fiction",1,following events age ultron collective governments world pass act designed regulate all superhuman activity polarizes opinion amongst avengers causing two factions side iron man or captain america which causes epic battle between former allies
The Dark Knight Rises,7.777,21335,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",76.914,"Action, Crime, Drama, Thriller",1,following death district attorney harvey dent batman assumes responsibility dents crimes protect late attorneys reputation subsequently hunted gotham city police department eight years later batman encounters mysterious selina kyle villainous bane new terrorist leader who overwhelms gothams finest dark knight resurfaces protect city branded him enemy
Iron Man 3,6.928,21064,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",61.06,"Action, Adventure, Science Fiction",0,when tony starks world torn apart formidable terrorist called mandarin he starts odyssey rebuilding retribution
Black Panther,7.39,21053,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",43.665,"Action, Adventure, Science Fiction",1,king tchalla returns home reclusive technologically advanced african nation wakanda serve his countrys new leader however tchalla soon finds he challenged throne factions within his own country well without using powers reserved wakandan kings tchalla assumes black panther mantle join exgirlfriend nakia queenmother his princesskid sister members dora milaje wakandan special forces american secret agent prevent wakanda being dragged into world war
Doctor Strange,7.427,20935,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",70.535,"Action, Adventure, Fantasy",1,after his career destroyed brilliant but arrogant surgeon gets new lease life when sorcerer takes him under her wing trains him defend world against evil
Mad Max: Fury Road,7.582,20911,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",78.319,"Action, Adventure, Science Fiction",1,apocalyptic story set furthest reaches our planet stark desert landscape where humanity broken most everyone crazed fighting necessities life within world exist two rebels run who just might able restore order
Inglourious Basterds,8.215,20746,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",59.162,"Drama, Thriller, War",1,nazioccupied france during world war ii group jewishamerican soldiers known basterds chosen specifically spread fear throughout third reich scalping brutally killing nazis basterds lead lt aldo raine soon cross paths frenchjewish teenage girl who runs movie theater paris which targeted soldiers
The Hunger Games,7.193,20636,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which ?Tributes? must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she?s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",29.577,"Science Fiction, Adventure, Fantasy",1,every year ruins what once north america nation panem forces each its twelve districts send teenage boy girl compete hunger games part twisted entertainment part government intimidation tactic hunger games nationally televised event which tributes must fight one another until one survivor remains pitted against highlytrained tributes who prepared these games their entire lives katniss forced rely upon her sharp instincts well mentorship drunken former victor haymitch abernathy if shes ever return home district katniss must make impossible choices arena weigh survival against humanity life against love world will watching
Spider-Man: Homecoming,7.345,20507,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",65.88,"Action, Adventure, Science Fiction, Drama",1,following events captain america civil war peter parker help his mentor tony stark tries balance his life ordinary high school student queens new york city fighting crime his superhero alter ego spiderman new threat vulture emerges
Harry Potter and the Chamber of Secrets,7.721,20390,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione?s magical abilities and courage.",121.699,"Adventure, Fantasy",1,cars fly trees fight back mysterious houseelf comes warn harry potter start his second year hogwarts adventure danger await when bloody writing wall announces chamber secrets been opened save hogwarts will require all harry ron hermiones magical abilities courage
Guardians of the Galaxy Vol. 2,7.624,20353,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,67.553,"Science Fiction, Adventure, Action",1,guardians must fight keep their newfound family together they unravel mysteries peter quills true parentage
The Lord of the Rings: The Two Towers,8.385,20274,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",78.73,"Adventure, Fantasy, Action",1,frodo sam trekking mordor destroy one ring power while gimli legolas aragorn search orccaptured merry pippin all along nefarious wizard saruman awaits fellowship members orthanc tower isengard
Captain America: The First Avenger,6.995,20269,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull ? Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",43.665,"Action, Adventure, Science Fiction",0,during world war ii steve rogers sickly man brooklyn whos transformed into supersoldier captain america aid war effort rogers must stop red skull adolf hitlers ruthless head weaponry leader organization intends use mysterious device untold powers world domination
Suicide Squad,5.909,20097,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",35.356,"Action, Adventure, Fantasy",0,dc comics comes suicide squad antihero team incarcerated supervillains who act deniable assets united states government undertaking highrisk black ops missions exchange commuted prison sentences
Harry Potter and the Prisoner of Azkaban,8.02,20038,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",124.386,"Adventure, Fantasy",1,year three hogwarts means new fun challenges harry learns delicate art approaching hippogriff transforming shapeshifting boggarts into hilarity even turning back time but term also brings danger soulsucking dementors hover over school ally accursed hewhocannotbenamed lurks within castle walls fearsome wizard sirius black escapes azkaban harry will confront them all
Thor,6.768,20023,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",51.277,"Adventure, Fantasy, Action",0,against his father odins will mighty thor powerful but arrogant warrior god recklessly reignites ancient war thor cast down earth forced live among humans punishment once here thor learns what takes true hero when most dangerous villain his world sends darkest forces asgard invade earth
Iron Man 2,6.835,19756,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances ? and confront powerful enemies.",84.445,"Adventure, Action, Science Fiction",0,world now aware his dual life armored superhero iron man billionaire inventor tony stark faces pressure government press public share his technology military unwilling let go his invention stark pepper potts james rhodey rhodes his side must forge new alliances confront powerful enemies
Batman Begins,7.701,19561,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",66.286,"Action, Crime, Drama",1,driven tragedy billionaire bruce wayne dedicates his life uncovering defeating corruption plagues his home gotham city unable work within system he instead creates new identity symbol fear criminal underworld batman
Thor: Ragnarok,7.595,19539,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",45.2,"Action, Adventure, Science Fiction",1,thor imprisoned other side universe finds himself race against time get back asgard stop ragnarok destruction his homeworld end asgardian civilization hands powerful new threat ruthless hela
Inside Out,7.922,19463,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions? Joy, Fear, Anger, Disgust and Sadness?live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",107.292,"Animation, Family, Adventure, Drama, Comedy",1,growing up can bumpy road its no exception riley who uprooted her midwest life when her father starts new job san francisco rileys guiding emotions joy fear anger disgust sadnesslive headquarters control centre inside rileys mind where they help advise her through everyday life tries keep things positive but emotions conflict how best navigate new city house school
Jurassic World,6.682,19414,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",54.089,"Action, Adventure, Science Fiction, Thriller",0,twentytwo years after events jurassic park isla nublar now features fully functioning dinosaur theme park jurassic world originally envisioned john hammond
Se7en,8.368,19403,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",53.521,"Crime, Mystery, Thriller",1,two homicide detectives desperate hunt serial killer whose crimes based seven deadly sins dark haunting film takes viewers tortured remains one victim next seasoned det sommerset researches each sin effort get inside killers mind while his novice partner mills scoffs his efforts unravel case
Harry Potter and the Goblet of Fire,7.816,19287,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools?the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",134.276,"Adventure, Fantasy",1,when harry potters name emerges goblet fire he becomes competitor grueling battle glory among three wizarding schoolsthe triwizard tournament but since harry never submitted his name tournament who did now harry must confront deadly dragon fierce water demons enchanted maze only find himself cruel grasp he who must not named
Pirates of the Caribbean: The Curse of the Black Pearl,7.794,19233,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",80.509,"Adventure, Fantasy, Action",1,jack sparrow freewheeling thcentury pirate quarrels rival pirate bent pillaging port royal when governors daughter kidnapped sparrow decides help girls love save her
Harry Potter and the Deathly Hallows: Part 2,8.105,19183,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",110.974,"Fantasy, Adventure",1,harry ron hermione continue their quest vanquish evil voldemort once all just things begin look hopeless young wizards harry discovers trio magical objects endow him powers rival voldemorts formidable skills
Star Wars,8.204,19155,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,88.559,"Adventure, Action, Science Fiction",1,princess leia captured held hostage evil imperial forces their effort take over galactic empire venturesome luke skywalker dashing captain han solo team together loveable robot duo rd cpo rescue beautiful princess restore peace justice empire
Wonder Woman,7.236,18954,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,54.628,"Action, Adventure, Fantasy",1,amazon princess comes world man grips first world war confront forces evil bring end human conflict
Up,7.949,18857,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",90.968,"Animation, Comedy, Family, Adventure",1,carl fredricksen spent his entire life dreaming exploring globe experiencing life its fullest but age life seems passed him until twist fate persistent year old wilderness explorer named russell gives him new lease life
Ant-Man,7.082,18730,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",37.692,"Science Fiction, Action, Adventure",1,armed astonishing ability shrink scale but increase strength master thief scott lang must embrace his innerhero help his mentor doctor hank pym protect secret behind his spectacular antman suit new generation towering threats against seemingly insurmountable obstacles pym lang must plan pull off heist will save world
The Godfather,8.707,18677,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",158.448,"Drama, Crime",1,spanning years chronicle fictional italianamerican corleone crime family when organized crime family patriarch vito corleone barely survives attempt his life his youngest son michael steps take care wouldbe killers launching campaign bloody revenge
The Martian,7.678,18525,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",76,"Drama, Adventure, Science Fiction",1,during manned mission mars astronaut mark watney presumed dead after fierce storm left behind his crew but watney survived finds himself stranded alone hostile planet only meager supplies he must draw upon his ingenuity wit spirit subsist find way signal earth he alive
Back to the Future,8.314,18442,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",62.543,"Adventure, Comedy, Science Fiction",1,eighties teenager marty mcfly accidentally sent back time inadvertently disrupting his parents first meeting attracting his mothers romantic interest marty must repair damage history rekindling his parents romance help his eccentric inventor friend doc brown return
Star Wars: The Force Awakens,7.293,18352,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",66.772,"Adventure, Action, Science Fiction",1,thirty years after defeating galactic empire han solo his allies face new threat evil kylo ren his army stormtroopers
Spider-Man: No Way Home,7.99,18299,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",186.065,"Action, Adventure, Science Fiction",1,peter parker unmasked no longer able separate his normal life highstakes being superhero when he asks help doctor strange stakes become even more dangerous forcing him discover what truly means spiderman
Harry Potter and the Order of the Phoenix,7.686,18177,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.",117.168,"Adventure, Fantasy",1,returning his fifth year study hogwarts harry stunned find his warnings about return lord voldemort been ignored left no choice harry takes matters into his own hands training small group students defend themselves against dark arts
Harry Potter and the Half-Blood Prince,7.697,18127,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",121.735,"Adventure, Fantasy",1,lord voldemort tightens his grip both muggle wizarding worlds hogwarts no longer safe haven harry suspects perils may even lie within castle but dumbledore more intent upon preparing him final battle fast approaching together they work find key unlock voldemorts defenses end dumbledore recruits his old friend colleague horace slughorn whom he believes holds crucial information even decisive showdown looms romance blossoms harry ron hermione their classmates love air but danger lies ahead hogwarts may never same again
Logan,7.8,18116,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",54.194,"Action, Drama, Science Fiction",1,near future weary logan cares ailing professor x hideout mexican border but logans attempts hide world his legacy upended when young mutant arrives pursued dark forces
Finding Nemo,7.824,18061,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",55.456,"Animation, Family",1,nemo adventurous young clownfish unexpectedly taken his great barrier reef home dentists office aquarium its up his worrisome father marlin friendly but forgetful fish dory bring nemo home meeting vegetarian sharks surfer dude turtles hypnotic jellyfish hungry seagulls more along way
It,7.242,18018,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",74.73,"Horror, Fantasy",1,small town maine seven children known losers club come face face life problems bullies monster takes shape clown called pennywise
John Wick,7.421,17923,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,55.739,"Action, Thriller",1,exhitman john wick comes out retirement track down gangsters took everything him
